year,country,2_letter_code,unit,Exports of goods and services,Imports of goods and services,trade_balance,coverage_ratio,total_trade,total_exports_yoy,total_imports_yoy,%_Export_UE,%_Import_UE,%_total_trade_UE
2010,Bulgaria,BG,CP_EUR,19182300000.0,20401600000.0,-1219300000.0,0.9402350796015999,39583900000.0,0.21429249672408224,0.08026136038716913,0.004374892650657924,0.004652977479325352,0.009027870129983276
2011,Bulgaria,BG,CP_EUR,24384900000.0,24319200000.0,65700000.0,1.0027015691305634,48704100000.0,0.27121877981263975,0.19202415496823777,0.0050348180205723285,0.005021252759121528,0.010056070779693857
2012,Bulgaria,BG,CP_EUR,25499100000.0,26884500000.0,-1385400000.0,0.9484684483624394,52383600000.0,0.04569221116346589,0.10548455541300705,0.0050533397849254385,0.00532789445305238,0.01038123423797782
2013,Bulgaria,BG,CP_EUR,27153100000.0,27388100000.0,-235000000.0,0.9914196311536763,54541200000.0,0.06486503445219638,0.018731983112946216,0.005287883731407421,0.005333648401993127,0.010621532133400549
2014,Bulgaria,BG,CP_EUR,27772400000.0,28265700000.0,-493300000.0,0.9825477522226586,56038100000.0,0.022807708880385746,0.0320431136150372,0.005210919883354529,0.00530347748653102,0.01051439736988555
2015,Bulgaria,BG,CP_EUR,29212300000.0,28829400000.0,382900000.0,1.0132815806086841,58041700000.0,0.05184643747029427,0.019942898990649383,0.005130433414254675,0.005063186297310164,0.01019361971156484
2016,Bulgaria,BG,CP_EUR,31133100000.0,28736300000.0,2396800000.0,1.0834067016282543,59869400000.0,0.06575312454000537,-0.0032293422686563433,0.005366088689769885,0.004952977198410514,0.0103190658881804
2017,Bulgaria,BG,CP_EUR,35170700000.0,32888699999.999996,2282000000.000004,1.0693855336331324,68059400000.0,0.12968833813529645,0.14450016181623915,0.005622160661560881,0.0052573748987048115,0.010879535560265692
2018,Bulgaria,BG,CP_EUR,36914300000.0,35418600000.0,1495700000.0,1.042229224192938,72332900000.0,0.04957535676003033,0.0769230769230771,0.005609663106406925,0.0053823698052132725,0.010992032911620198
2019,Bulgaria,BG,CP_EUR,39348400000.0,37304000000.0,2044400000.0,1.054803774394167,76652400000.0,0.06593921596779562,0.05323191769296365,0.005732114282291318,0.005434294436027776,0.011166408718319093
2020,Bulgaria,BG,CP_EUR,34933000000.0,33370300000.000004,1562699999.9999962,1.0468290665651792,68303300000.0,-0.11221294893820333,-0.10544981771391793,0.005611457106969941,0.0053604330317098174,0.010971890138679758
2021,Bulgaria,BG,CP_EUR,44125900000.0,42353000000.0,1772900000.0,1.041860080749888,86478900000.0,0.2631580454011966,0.26918247663341344,0.006000001196576399,0.005758931844531222,0.01175893304110762
2022,Bulgaria,BG,CP_EUR,60237100000.0,59278100000.0,959000000.0,1.0161779814130345,119515200000.0,0.36511889842473466,0.39961986163908114,0.006736201765665401,0.006628958596700209,0.01336516036236561
2023,Bulgaria,BG,CP_EUR,58610300000.0,54724900000.0,3885400000.0,1.0709987592485322,113335200000.0,-0.027006612204106717,-0.07681082895706848,0.0065620524929267685,0.006127040238152135,0.012689092731078903
2024,Bulgaria,BG,CP_EUR,59057200000.0,56423800000.0,2633400000.0,1.0466717945264232,115481000000.0,0.007624939643714468,0.03104436919939557,0.006508510876555808,0.0062182920286876055,0.012726802905243414
2025,Bulgaria,BG,CP_EUR,58865900000.0,60069400000.0,-1203500000.0,0.9799648406676278,118935300000.0,-0.003239232472924569,0.06461103293291126,0.006310829789761616,0.006439853276227942,0.012750683065989558
1995,Croatia,HR,CP_EUR,4784200000.0,6219200000.0,-1435000000.0,0.7692629277077437,11003400000.0,,,0.002664227678586842,0.003463351193233412,0.006127578871820254
1996,Croatia,HR,CP_EUR,5812000000.0,7046900000.0,-1234900000.0,0.8247598234684755,12858900000.0,0.21483215584632753,0.1330878569590943,0.0030544520188524648,0.0037034442415091935,0.006757896260361659
1997,Croatia,HR,CP_EUR,6606400000.0,9329300000.0,-2722900000.0,0.7081345867321235,15935700000.0,0.136682725395733,0.3238870992918872,0.003129545583955565,0.004419422017497677,0.0075489676014532416
1998,Croatia,HR,CP_EUR,6682800000.0,8222100000.0,-1539300000.0,0.8127850549129785,14904900000.0,0.011564543472995847,-0.11867985808152803,0.002978149054604346,0.003664128709801639,0.006642277764405985
1999,Croatia,HR,CP_EUR,6687100000.0,8016100000.0,-1329000000.0,0.8342086550816482,14703200000.0,0.0006434428682589033,-0.025054426484718006,0.002820856919392741,0.0033814764474202792,0.00620233336681302
2000,Croatia,HR,CP_EUR,8292100000.0,9337300000.0,-1045200000.0,0.8880618594240305,17629400000.0,0.24001435599886345,0.16481830316488066,0.0029563342012082746,0.003328973280223589,0.0062853074814318635
2001,Croatia,HR,CP_EUR,9631200000.0,10972900000.0,-1341700000.0,0.8777260341386507,20604100000.0,0.1614910577537656,0.17516841056836552,0.003281591055122566,0.0037387418482384754,0.007020332903361041
2002,Croatia,HR,CP_EUR,10322700000.0,13019900000.0,-2697200000.0,0.7928401907848754,23342600000.0,0.07179790680289067,0.18655050169052845,0.0034541652611300017,0.004356697984382624,0.007810863245512625
2003,Croatia,HR,CP_EUR,11025100000.0,14235500000.0,-3210400000.0,0.7744792947209441,25260600000.0,0.0680442132387844,0.09336477238688468,0.0036776613901627437,0.00474855998763383,0.008426221377796573
2004,Croatia,HR,CP_EUR,12358900000.0,15239200000.0,-2880300000.0,0.810994015433881,27598100000.0,0.12097849452612675,0.07050683151276749,0.0037664593456657254,0.0046442504802586895,0.008410709825924415
2005,Croatia,HR,CP_EUR,13408900000.0,16608700000.0,-3199800000.0,0.8073419352508023,30017600000.0,0.08495901738827882,0.08986692214814429,0.0037659132013022983,0.004664582671693389,0.008430495872995688
2006,Croatia,HR,CP_EUR,15251300000.0,18674200000.0,-3422900000.0,0.8167043300382346,33925500000.0,0.13740127825548698,0.12436253288938937,0.0038340461579306844,0.004694533893007756,0.00852858005093844
2007,Croatia,HR,CP_EUR,16643400000.000002,20344100000.0,-3700699999.999998,0.8180946810131685,36987500000.0,0.09127746487184707,0.0894228400681154,0.003836979571289451,0.0046901412028954245,0.008527120774184875
2008,Croatia,HR,CP_EUR,17468200000.0,22386500000.0,-4918300000.0,0.7803006276103902,39854700000.0,0.04955718182582869,0.10039274285910893,0.0038665017674633486,0.00495514373646502,0.008821645503928367
2009,Croatia,HR,CP_EUR,14721900000.0,17244100000.0,-2522200000.0,0.8537354805411707,31966000000.0,-0.15721711452811393,-0.22970986978759522,0.0038661144088767557,0.00452846870839441,0.008394583117271166
2010,Croatia,HR,CP_EUR,16325800000.0,17079900000.000002,-754100000.0000019,0.9558486876386864,33405700000.0,0.10894653543360566,-0.009522097413028119,0.0037234128564411534,0.0038953998730064843,0.007618812729447637
2011,Croatia,HR,CP_EUR,17412100000.0,18181000000.0,-768900000.0,0.9577085968868599,35593100000.0,0.06653885261365455,0.06446759055966367,0.003595124640905127,0.0037538815591626577,0.007349006200067785
2012,Croatia,HR,CP_EUR,17365500000.0,18083400000.0,-717900000.0,0.9603006071867016,35448900000.0,-0.0026762998144967964,-0.00536824157087068,0.003441445856329153,0.0035837172553823734,0.007025163111711526
2013,Croatia,HR,CP_EUR,17682000000.0,18569100000.0,-887100000.0,0.9522270869347464,36251100000.0,0.018225792519650952,0.026858887156176348,0.0034434506608360007,0.0036162074237150654,0.007059658084551067
2014,Croatia,HR,CP_EUR,18782700000.0,18951900000.0,-169200000.0,0.9910721352476533,37734600000.0,0.062249745503902165,0.020614892482672786,0.0035241874988507695,0.0035559344002443686,0.007080121899095139
2015,Croatia,HR,CP_EUR,20665500000.0,20570000000.0,95500000.0,1.0046426835196889,41235500000.0,0.10024117938315569,0.08537930233907942,0.0036293948686779193,0.0036126226052456897,0.007242017473923609
2016,Croatia,HR,CP_EUR,22178900000.0,21655000000.0,523900000.0,1.0241930270145463,43833900000.0,0.07323316638842514,0.05274671852211954,0.003822746351681564,0.003732447156787049,0.0075551935084686135
2017,Croatia,HR,CP_EUR,24558100000.0,24262800000.0,295300000.0,1.0121708953624478,48820900000.0,0.10727312896491714,0.12042484414684829,0.003925699054686949,0.0038784943063208677,0.007804193361007817
2018,Croatia,HR,CP_EUR,26046200000.0,26503700000.0,-457500000.0,0.9827382591864532,52549900000.0,0.06059507860950153,0.09235949684290357,0.003958097734539082,0.0040276214928436195,0.007985719227382702
